Created_at,Text,Favorites,retweets,Images
Wed Apr 10 09:01:29 +0000 2019,Clarification: Our earlier post which indicates that the interview has been done is referring to the interviews of… https://t.co/x8Etf6qEOn,1,0,None
Wed Apr 10 04:51:26 +0000 2019,RT @IIITDelhi: Applications open for MTech (CB) through JNU CEEB Admission process. Candidates can check the JNU CEEB admission process in…,0,1,None
Tue Apr 09 16:45:07 +0000 2019,RT @IIITDelhi: We are delighted to share that IIIT-Delhi is ranked 55 by NIRF this year. We have moved up by 11 positions compared to the p…,0,14,None
Tue Apr 09 05:04:27 +0000 2019,"RT @Harvard: Professor Jelani Nelson founded AddisCoder, a program that teaches students in Ethiopia how to code https://t.co/0sM06p4qxw",0,36,None
Tue Apr 09 05:04:11 +0000 2019,"RT @emnlp2019: For anyone interested in submitting to EMNLP 2019, the anonymity period begins in less two weeks, on April 21.
https://t.co/…",0,17,None
Mon Apr 08 19:38:09 +0000 2019,RT @multimediaeval: Announcing the 2019 MediaEval multimedia tasks: https://t.co/V6NMt1vaNV Participation is open for anyone who is interes…,0,15,None
Mon Apr 08 07:08:12 +0000 2019,"Many Congratulations to @midasIIITD student, Shagun Uppal @shagunuppls, on getting selected for the summer internsh… https://t.co/bzhiSm4zuB",18,2,None
Mon Apr 08 03:27:42 +0000 2019,@midasIIITD thanks all students who have appeared for the interview yesterday. We will announce the interview resul… https://t.co/qxESgZPtKJ,5,0,None
Sun Apr 07 14:17:29 +0000 2019,"@himanchalchandr Meanwhile, complete CV/NLP task first.",0,0,None
Sun Apr 07 14:17:09 +0000 2019,@sayangdipto123 Submit as per the guideline again.,0,0,None
Sun Apr 07 11:43:24 +0000 2019,We request all students whose interview are scheduled today to join at the time given to them and not before or aft… https://t.co/7cnrlj1b9Q,1,1,None
Sun Apr 07 06:55:19 +0000 2019,"Other queries: ""none of the Tweeter Apis give the correct count of favorites tested for most of them, all give the… https://t.co/2jnCTMMqV8",5,2,None
Sun Apr 07 06:53:38 +0000 2019,"Other queries: ""do we have to make two different repositories on Github as ""Python Problem"" and ""CV Problem"". Or we… https://t.co/45x8RhQcAT",5,1,None
Sun Apr 07 05:32:27 +0000 2019,"Other queries: ""If using Twitter api, it does not include any information about images in the response objects sent… https://t.co/JEWZB2XTPq",6,1,None
Sun Apr 07 05:29:40 +0000 2019,"Response to some queries asked by students on @midasIIITD task.
What does the line ""dump the responses into JSONlin… https://t.co/Rr6ri8lyVY",7,1,None
Sat Apr 06 17:11:29 +0000 2019,RT @kdnuggets: Top 8 #Free Must-Read #Books on #DeepLearning #KDN https://t.co/1DtlN91Yjj,0,2,None
Sat Apr 06 16:43:27 +0000 2019,"@nupur_baghel @PennDATS Congratulation @nupur_baghel on getting admit from @PennDATS. 
She got 5/10 acceptance. She… https://t.co/ooD8yneUwS",18,3,None
Fri Apr 05 16:08:37 +0000 2019,We have emailed the task details to all candidates who have applied to @midasIIITD internship through IIITD portal.… https://t.co/gZwyr7D2Sw,11,1,None
Fri Apr 05 04:05:11 +0000 2019,"RT @rfpvjr: Our NAACL paper on polarization in language on Twitter surrounding mass shootings is up on arXiv! https://t.co/g7wiegXxDg
This…",0,16,None
Fri Apr 05 04:04:43 +0000 2019,RT @kdnuggets: Effective Transfer Learning For NLP https://t.co/Z1m0AzlfVv https://t.co/ccX4Uhxjn8,0,11,None
